FECHA_ID,UBICACION_ID,META,DOSIS APLICADAS,COBERTURA
2,212,121,106,87.6
2,213,109,57,52.3
2,214,45,16,35.6
2,215,70,40,57.1
2,216,41,31,75.6
2,217,66,46,69.7
2,218,20,10,50.0
2,219,172,82,47.7
2,220,98,60,61.2
2,221,351,228,65.0
2,222,683,663,97.1
2,223,232,173,74.6
2,224,42,35,83.3
2,225,311,245,78.8
2,226,103,65,63.1
2,227,233,161,69.1
2,228,103,46,44.7
2,229,96,79,82.3
2,230,236,146,61.9
2,231,113,67,59.3
2,232,55,11,20.0
2,233,42,23,54.8
2,234,87,54,62.1
2,235,2256,1622,71.9
2,236,87,41,47.1
2,237,231,125,54.1
2,238,173,132,76.3
2,239,714,592,82.9
2,240,564,483,85.6
2,241,377,623,165.3
2,242,148,131,88.5
2,243,79,35,44.3
2,244,652,839,128.7
2,245,48,43,89.6
2,246,90,69,76.7
2,247,46,22,47.8
2,248,660,473,71.7
2,249,46,36,78.3
2,250,105,74,70.5
2,251,176,140,79.5
2,252,483,432,89.4
2,253,189,171,90.5
2,254,182,90,49.5
2,255,62,62,100.0
2,256,129,123,95.3
2,257,87,81,93.1
2,258,418,293,70.1
2,259,54,17,31.5
2,260,100,74,74.0
2,261,157,156,99.4
2,262,358,181,50.6
